shipment_id,order_date,ship_date,ship_dow,ship_month,shipment_mode,carrier,service_level,origin_metro,dest_metro,origin_zip,dest_zip,origin_lat,origin_lon,dest_lat,dest_lon,distance_miles,zone,weight_lbs,length_in,width_in,height_in,pallet_count,residential_flag,signature_required,declared_value_usd,fuel_surcharge_pct,weather_severity,carrier_congestion_index,promised_days,carrier_cost_usd,transit_days,delivered_on_time
SHP-42-0021585,2024-03-11,2024-03-12,1,3,ltl_freight,Ironclad Freight,LTL Standard,Atlanta GA,Chicago IL,30383,60696,33.75,-84.39,41.88,-87.63,588.8,4,352.47,48.8,22.9,27.3,1,0,0,0.0,0.0844,0.265,0.213,8,191.23,8,1
SHP-42-0033394,2025-01-26,2025-01-27,0,1,parcel,Falcon Post,TwoDay,Los Angeles CA,Boston MA,90005,02104,34.05,-118.24,42.36,-71.06,2590.7,8,2.31,7.4,6.3,5.8,0,0,1,339.61,0.1486,0.279,0.0,3,22.14,4,0
SHP-42-0044551,2024-10-27,2024-10-27,6,10,parcel,Falcon Post,Ground,Houston TX,Kansas City MO,77076,64105,29.76,-95.37,39.1,-94.58,646.9,5,8.75,13.7,8.2,6.4,0,0,0,112.31,0.1199,0.198,0.0,6,15.19,5,1
SHP-42-0013298,2025-06-13,2025-06-14,5,6,parcel,Falcon Post,Ground,Miami FL,Boston MA,33100,02143,25.76,-80.19,42.36,-71.06,1258.5,6,1.85,8.0,5.1,5.8,0,1,1,82.13,0.0677,0.395,0.199,6,12.99,8,0
SHP-42-0016171,2025-10-14,2025-10-15,2,10,parcel,Northstar Parcel,Expedited,Los Angeles CA,Chicago IL,90084,60662,34.05,-118.24,41.88,-87.63,1742.2,7,0.91,5.3,5.5,3.5,0,1,0,60.06,0.0934,0.311,0.166,4,15.8,3,1
SHP-42-0037963,2024-09-07,2024-09-07,5,9,parcel,Northstar Parcel,TwoDay,Atlanta GA,Kansas City MO,30304,64179,33.75,-84.39,39.1,-94.58,675.8,5,1.13,6.4,5.4,4.5,0,1,0,115.27,0.0722,0.141,0.124,3,20.79,4,0
SHP-42-0043906,2024-03-09,2024-03-11,0,3,parcel,Summit Express,Ground,Minneapolis MN,Los Angeles CA,55411,90071,44.98,-93.27,34.05,-118.24,1521.2,7,3.89,9.8,5.9,3.9,0,0,0,102.4,0.0887,0.543,0.177,7,17.02,5,1
SHP-42-0029719,2024-01-28,2024-01-28,6,1,parcel,Northstar Parcel,Expedited,Minneapolis MN,Columbus OH,55468,43261,44.98,-93.27,39.96,-82.99,627.6,5,2.3,8.0,4.3,3.2,0,1,1,83.48,0.1277,0.655,0.199,4,24.76,4,1
SHP-42-0001566,2024-07-14,2024-07-17,2,7,parcel,Cobalt Regional,Ground,Los Angeles CA,Seattle WA,90031,98176,34.05,-118.24,47.61,-122.33,960.6,5,2.92,6.0,8.1,6.7,0,1,0,0.0,0.1092,0.068,0.185,6,12.61,4,1
SHP-42-0003253,2025-03-26,2025-03-27,3,3,parcel,Summit Express,Ground,Denver CO,Boston MA,80229,02123,39.74,-104.99,42.36,-71.06,1765.4,7,4.2,11.1,7.1,7.9,0,1,0,82.34,0.0963,0.131,0.261,7,23.8,6,1
SHP-42-0017566,2025-12-11,2025-12-11,3,12,parcel,Summit Express,  Expedited ,New York NY,Chicago IL,10053,60641,40.71,-74.01,41.88,-87.63,710.9,5,3.77,10.8,8.3,7.0,0,1,0,0.0,0.1542,0.207,0.807,4,26.12,3,1
SHP-42-0025101,2024-02-27,2024-02-28,2,2,parcel,Summit Express,Expedited,Miami FL,Kansas City MO,33175,64101,25.76,-80.19,39.1,-94.58,1243.3,6,3.21,7.4,8.3,4.6,0,0,0,80.58,0.1558,0.433,0.163,4,21.19,3,1
SHP-42-0017227,2025-01-11,2025-01-12,6,1,parcel,Summit Express,Ground,Miami FL,Los Angeles CA,33110,90079,25.76,-80.19,34.05,-118.24,2335.5,8,12.41,10.4,11.7,10.5,0,0,0,46.94,0.1758,0.396,0.238,7,28.94,7,1
SHP-42-0015644,2025-09-14,2025-09-16,1,9,parcel,Summit Express,Expedited,Portland OR,Houston TX,97243,77060,45.51,-122.68,29.76,-95.37,1833.6,8,18.92,9.8,10.1,8.6,0,1,0,232.33,0.0905,0.31,0.123,4,47.86,3,1
SHP-42-0046654,2025-12-10,2025-12-12,4,12,parcel,Summit Express,Ground,Columbus OH,Chicago IL,43215,60621,39.96,-82.99,41.88,-87.63,276.1,3,1.12,4.3,5.8,4.3,0,1,0,0.0,0.1607,0.354,0.89,5,15.33,4,1
SHP-42-0018925,2024-05-24,2024-05-25,5,5,parcel,Northstar Parcel,Ground,Chicago IL,Nashville TN,60645,37259,41.88,-87.63,36.16,-86.78,397.8,4,2.98,6.3,6.3,3.9,0,0,1,55.95,0.0921,0.598,0.086,5,12.73,6,0
SHP-42-0003780,2024-02-18,2024-02-23,4,2,parcel,Northstar Parcel,Ground,Los Angeles CA,Miami FL,90041,33145,34.05,-118.24,25.76,-80.19,2335.5,8,1.56,6.9,4.1,3.6,0,1,1,115.92,0.1623,0.285,0.328,7,21.04,8,0
SHP-42-0036508,2024-04-06,2024-04-07,6,4,parcel,Falcon Post,TwoDay,Miami FL,Columbus OH,33176,43233,25.76,-80.19,39.96,-82.99,994.3,5,2.97,6.8,6.2,3.3,0,0,0,19.08,0.0912,0.1,0.001,3,14.98,3,1
SHP-42-0042115,2025-02-02,2025-02-04,1,2,ltl_freight,  Ironclad Freight ,  LTL Guaranteed ,Dallas TX,New York NY,75241,10068,32.78,-96.8,40.71,-74.01,1370.4,6,326488.0,56.4,37.9,24.7,1,0,0,185.87,0.0954,0.371,0.077,7,310.3,6,1
SHP-42-0016423,2024-01-07,2024-01-09,1,1,parcel,Summit Express,TwoDay,Denver CO,Phoenix AZ,80286,85076,39.74,-104.99,33.45,-112.07,585.4,4,8.34,12.5,9.1,5.3,0,1,1,49.83,0.1797,0.443,0.016,3,43.17,2,1
SHP-42-0046016,2024-01-02,2024-01-03,2,1,parcel,  Falcon Post ,Ground,Seattle WA,Columbus OH,98114,43200,47.61,-122.33,39.96,-82.99,2008.8,8,7.93,10.3,7.9,8.3,0,1,1,18.45,0.1189,0.441,0.373,7,21.22,8,0
SHP-42-0022319,2025-01-06,2025-01-07,1,1,parcel,Northstar Parcel,  Ground ,Phoenix AZ,Columbus OH,85036,43258,33.45,-112.07,39.96,-82.99,1664.2,7,13.69,14.4,8.8,7.4,0,1,0,47.44,0.1419,0.269,0.324,7,27.11,6,1
SHP-42-0026063,2025-09-17,2025-09-18,3,9,ltl_freight,Ironclad Freight,LTL Standard,Atlanta GA,Phoenix AZ,30397,85046,33.75,-84.39,33.45,-112.07,1588.3,7,737.83,64.8,49.9,22.7,1,0,0,24.19,0.0874,0.237,0.185,10,333.38,11,0
SHP-42-0032645,2025-09-04,2025-09-04,3,9,parcel,Northstar Parcel,Expedited,Salt Lake City UT,Denver CO,84187,80265,40.76,-111.89,39.74,-104.99,370.5,4,6.26,12.2,9.7,7.9,0,1,1,0.0,0.0833,0.233,0.058,3,26.85,3,1
SHP-42-0033484,2025-12-06,2025-12-07,6,12,parcel,Northstar Parcel,TwoDay,Chicago IL,Miami FL,60654,33164,41.88,-87.63,25.76,-80.19,1191.6,6,1.79,6.8,6.5,3.0,0,1,0,0.0,0.1418,0.507,0.688,3,23.7,4,0
SHP-42-0025790,2025-05-17,2025-05-21,2,5,ltl_freight,Ironclad Freight,LTL Standard,Portland OR,Atlanta GA,97291,30383,45.51,-122.68,33.75,-84.39,2168.7,8,490.17,37.3,27.7,20.8,1,0,0,515.34,0.1229,0.265,0.094,11,401.2,11,1
SHP-42-0028782,2024-04-14,2024-04-17,2,4,parcel,Cobalt Regional,Expedited,Phoenix AZ,Denver CO,85003,80222,33.45,-112.07,39.74,-104.99,585.4,4,4.75,10.4,6.2,8.2,0,1,1,15.29,0.1214,0.314,0.218,3,20.59,3,1
SHP-42-0038846,2025-07-05,2025-07-06,6,7,parcel,Northstar Parcel,Ground,Salt Lake City UT,New York NY,84130,10037,40.76,-111.89,40.71,-74.01,1967.5,8,4.51,7.2,7.4,4.7,0,1,0,139.48,0.1182,0.298,0.304,7,19.61,7,1
SHP-42-0021583,2025-06-17,2025-06-18,2,6,parcel,Summit Express,TwoDay,Denver CO,Houston TX,80289,77024,39.74,-104.99,29.76,-95.37,878.5,5,1.13,5.6,5.0,3.6,0,1,0,67.27,0.0982,0.318,0.287,3,29.23,2,1
SHP-42-0031454,2024-01-12,2024-01-12,4,1,parcel,Summit Express,Ground,Minneapolis MN,Portland OR,55418,97281,44.98,-93.27,45.51,-122.68,1423.2,7,3.5,7.0,6.3,5.4,0,1,0,70.35,0.1296,0.567,0.265,7,22.01,7,1
SHP-42-0020825,2024-12-16,2024-12-19,3,12,parcel,Summit Express,TWODAY,New York NY,Chicago IL,10099,60635,40.71,-74.01,41.88,-87.63,710.9,5,3.77,6.5,5.5,5.1,0,1,1,207.44,0.164,0.623,0.821,3,41.6,4,0
SHP-42-0007143,2025-10-22,2025-10-25,5,10,parcel,Summit Express,Ground,Dallas TX,Los Angeles CA,75239,90009,32.78,-96.8,34.05,-118.24,1237.4,6,4.11,6.6,5.7,6.5,0,1,0,112.07,0.1041,0.082,0.124,6,23.64,6,1
SHP-42-0000167,2024-03-15,2024-03-16,5,3,ltl_freight,Ironclad Freight,LTL Standard,Nashville TN,Los Angeles CA,37289,90067,36.16,-86.78,34.05,-118.24,1776.5,7,811.57,45.1,53.8,30.2,1,0,0,0.0,0.083,0.024,0.071,10,361.92,10,1
SHP-42-0033874,2024-06-01,2024-06-01,5,6,ltl_freight,Vela Freight,LTL Standard,Atlanta GA,New York NY,30307,10089,33.75,-84.39,40.71,-74.01,745.6,5,1484.07,46.6,58.1,46.2,2,0,0,56.5,0.1163,0.219,0.111,9,342.01,8,1
SHP-42-0021743,2024-07-09,2024-07-09,1,7,parcel,Falcon Post,Ground,Kansas City MO,Dallas TX,64185,75228,39.1,-94.58,32.78,-96.8,453.9,4,3.22,5.6,6.0,3.9,0,1,0,47.92,0.1103,0.008,0.232,5,12.34,5,1
SHP-42-0008615,2024-05-22,2024-05-26,6,5,parcel,Falcon Post,Ground,Phoenix AZ,Boston MA,85017,02119,33.45,-112.07,42.36,-71.06,2294.9,8,1.81,7.5,5.9,4.5,0,1,0,22.76,0.0916,0.033,0.036,7,10.24,6,1
SHP-42-0033074,2024-02-11,2024-02-12,0,2,parcel,Northstar Parcel,Ground,Charlotte NC,Salt Lake City UT,28265,84147,35.23,-80.84,40.76,-111.89,1723.7,7,1.41,5.4,4.0,5.5,0,1,0,0.0,0.1402,0.277,0.121,7,14.58,6,1
SHP-42-0001122,2025-08-15,2025-08-16,5,8,parcel,Falcon Post,Expedited,Nashville TN,New York NY,37279,10028,36.16,-86.78,40.71,-74.01,758.3,5,3.04,7.7,7.3,6.5,0,1,0,0.0,0.1192,0.494,0.229,4,14.43,5,0
SHP-42-0032350,2025-01-06,2025-01-07,1,1,parcel,Falcon Post,Ground,Nashville TN,Denver CO,37283,80215,36.16,-86.78,39.74,-104.99,1020.5,6,4.5,8.3,7.6,4.3,0,1,0,124.26,0.1543,0.479,0.304,6,15.27,13,0
SHP-42-0049981,2024-09-27,2024-09-28,5,9,parcel,Falcon Post,Overnight,Chicago IL,Los Angeles CA,60691,90074,41.88,-87.63,34.05,-118.24,1742.2,7,2.11,5.5,7.4,5.4,0,1,0,133.79,0.1234,0.256,0.234,2,29.95,3,0
SHP-42-0008919,2025-03-15,2025-03-16,6,3,ltl_freight,Vela Freight,LTL Guaranteed,Boston MA,Miami FL,2193,33184,42.36,-71.06,25.76,-80.19,1258.5,6,935931.0,60.7,58.7,61.3,2,0,0,0.0,0.0693,0.154,0.164,7,435.57,6,1
SHP-42-0039176,2024-08-02,2024-08-05,0,8,parcel,Falcon Post,Ground,Dallas TX,Los Angeles CA,75228,90052,32.78,-96.8,34.05,-118.24,1237.4,6,4.27,7.9,9.4,,0,1,0,26.43,0.0834,0.315,0.251,6,10.76,8,0
SHP-42-0001097,2025-06-17,2025-06-19,3,6,parcel,Northstar Parcel,TwoDay,Nashville TN,Chicago IL,37208,60601,36.16,-86.78,41.88,-87.63,397.8,4,4.18,10.2,8.7,6.0,0,0,1,185.48,0.1006,0.082,0.051,3,27.66,2,1
SHP-42-0002741,2024-06-30,2024-07-01,0,7,parcel,Summit Express,Ground,Nashville TN,Columbus OH,37265,43217,36.16,-86.78,39.96,-82.99,333.8,4,3.14,9.8,7.6,7.1,0,1,0,51.46,0.1067,0.646,0.167,5,20.09,4,1
SHP-42-0001219,2024-07-25,2024-07-25,3,7,parcel,Cobalt Regional,Ground,Los Angeles CA,Seattle WA,90015,98153,34.05,-118.24,47.61,-122.33,960.6,5,3.82,8.0,5.2,7.0,0,1,0,56.87,0.0895,0.205,0.076,6,14.76,4,1
SHP-42-0013124,2024-11-28,2024-11-29,4,11,parcel,Northstar Parcel,TwoDay,Salt Lake City UT,Phoenix AZ,84146,85077,40.76,-111.89,33.45,-112.07,505.2,4,4.93,6.6,7.1,6.8,0,0,0,69.44,0.1086,0.21,0.815,3,20.68,3,1
SHP-42-0045208,2024-04-06,2024-04-06,5,4,parcel,Falcon Post,Ground,Atlanta GA,Portland OR,30347,97263,33.75,-84.39,45.51,-122.68,2168.7,8,2.42,7.4,6.4,3.5,0,1,0,47.79,0.0426,0.068,0.008,7,8.14,8,0
SHP-42-0043902,2025-05-20,2025-05-20,1,5,parcel,Summit Express,Ground,Columbus OH,Kansas City MO,43278,64105,39.96,-82.99,39.1,-94.58,620.1,5,1.22,4.5,4.3,3.4,0,0,1,0.0,0.1276,0.128,0.204,6,19.8,4,1
SHP-42-0031158,2025-10-14,2025-10-16,3,10,ltl_freight,Ironclad Freight,LTL Standard,Denver CO,Chicago IL,80293,60690,39.74,-104.99,41.88,-87.63,918.2,5,190.31,32.9,29.2,26.2,1,0,0,78.99,0.1107,0.383,0.113,9,226.46,8,1
SHP-42-0000850,2024-01-19,2024-01-22,0,1,parcel,Falcon Post,Ground,Chicago IL,Atlanta GA,60686,30390,41.88,-87.63,33.75,-84.39,588.8,4,1.23,,4.6,4.1,0,1,0,18.92,0.1657,0.608,0.197,5,10.86,6,0
SHP-42-0011494,2024-12-09,2024-12-10,1,12,parcel,Northstar Parcel,Expedited,Minneapolis MN,Kansas City MO,55441,64177,44.98,-93.27,39.1,-94.58,411.8,4,3.84,10.8,,7.6,0,1,0,66.51,0.1429,0.679,0.853,3,20.1,4,0
SHP-42-0020170,2025-06-29,2025-07-01,1,7,parcel,Northstar Parcel,Overnight,Minneapolis MN,Phoenix AZ,55408,85083,44.98,-93.27,33.45,-112.07,1278.1,6,1.75,8.6,6.8,4.3,0,1,0,42.51,0.1016,0.174,0.108,2,34.62,2,1
SHP-42-0032206,2024-04-18,2024-04-19,4,4,parcel,northstar parcel,Ground,Chicago IL,Kansas City MO,60663,64189,41.88,-87.63,39.1,-94.58,412.5,4,1.39,6.8,6.2,4.4,0,1,0,90.74,0.1211,0.264,0.13,5,14.38,6,0
SHP-42-0046768,2024-02-17,2024-02-18,6,2,parcel,Falcon Post,Ground,Nashville TN,Miami FL,37268,33169,36.16,-86.78,25.76,-80.19,817.2,5,6.75,11.6,6.2,4.6,0,1,0,103.66,0.1589,0.247,0.16,6,14.82,7,0
SHP-42-0007411,2024-11-01,2024-11-02,5,11,parcel,Northstar Parcel,Ground,Boston MA,Chicago IL,02178,60600,42.36,-71.06,41.88,-87.63,848.5,5,4.35,11.0,8.2,5.9,0,0,0,146.99,0.1372,0.042,0.79,6,15.05,6,1
SHP-42-0035652,2025-09-08,2025-09-08,0,9,ltl_freight,Ironclad Freight,LTL Standard,Seattle WA,Salt Lake City UT,98105,84197,47.61,-122.33,40.76,-111.89,700.0,5,1104.85,47.3,36.2,34.6,1,0,0,0.0,0.0712,0.206,0.07,9,246.12,9,1
SHP-42-0015714,2025-03-11,2025-03-12,2,3,parcel,Summit Express,TwoDay,Houston TX,Miami FL,77072,33143,29.76,-95.37,25.76,-80.19,967.5,5,0.94,4.3,3.4,4.4,0,0,0,84.94,0.0611,0.083,0.184,3,22.3,1,1
SHP-42-0011015,2024-11-28,2024-11-29,4,11,parcel,Falcon Post,Ground,Houston TX,Los Angeles CA,77032,90082,29.76,-95.37,34.05,-118.24,1370.7,6,3.05,10.3,8.4,5.5,0,1,0,34.98,0.1274,0.501,0.798,6,13.93,8,0
SHP-42-0007852,2024-05-14,2024-05-17,4,5,parcel,Falcon Post,Ground,Houston TX,Dallas TX,77007,75233,29.76,-95.37,32.78,-96.8,225.1,3,2.84,8.4,7.2,3.7,0,0,0,72.77,0.101,0.357,0.254,5,7.91,5,1
SHP-42-0038900,2025-01-07,2025-01-08,2,1,parcel,Summit Express,Ground,Minneapolis MN,New York NY,55484,10092,44.98,-93.27,40.71,-74.01,1016.5,6,6.15,12.8,7.2,5.0,0,1,0,0.0,0.144,0.351,0.088,6,23.0,5,1
SHP-42-0018335,2024-12-21,2024-12-24,1,12,ltl_freight,Vela Freight,LTL Guaranteed,Denver CO,Columbus OH,80280,43266,39.74,-104.99,39.96,-82.99,1164.1,6,743.86,59.8,35.3,44.1,1,0,0,0.0,0.1616,0.252,0.794,7,342.06,8,0
SHP-42-0030931,2025-05-30,2025-05-30,4,5,parcel,Falcon Post,Ground,Seattle WA,Dallas TX,98101,75285,47.61,-122.33,32.78,-96.8,1679.5,7,2.99,7.3,6.0,6.2,0,0,0,306.92,0.1194,0.148,0.036,7,11.91,6,1
SHP-42-0001276,2025-03-07,2025-03-07,4,3,parcel,Summit Express,Ground,Chicago IL,Columbus OH,60640,43201,41.88,-87.63,39.96,-82.99,276.1,3,4.26,8.6,5.9,,0,1,0,45.79,0.1474,0.046,0.166,5,19.99,3,1
SHP-42-0035067,2025-12-27,2025-12-27,5,12,parcel,Falcon Post,Ground,Seattle WA,Columbus OH,98130,43281,47.61,-122.33,39.96,-82.99,2008.8,8,3.81,9.4,6.6,6.4,0,1,0,0.0,0.156,0.374,0.853,7,11.33,9,0
SHP-42-0019232,2025-06-07,2025-06-07,5,6,ltl_freight,Vela Freight,LTL Standard,Houston TX,Portland OR,77094,97265,29.76,-95.37,45.51,-122.68,1833.6,8,831.3,36.4,49.3,35.0,1,0,0,27.56,0.0828,0.017,0.094,11,413.85,10,1
SHP-42-0029903,2025-07-02,2025-07-03,3,7,ltl_freight,Vela Freight,LTL Standard,New York NY,Minneapolis MN,10052,55403,40.71,-74.01,44.98,-93.27,1016.5,6,,39.9,37.1,24.4,1,0,0,0.0,0.1037,0.061,0.135,10,281.74,8,1
SHP-42-0037631,2024-05-30,2024-05-31,4,5,parcel,Northstar Parcel,Ground,Boston MA,New York NY,2138,10071,42.36,-71.06,40.71,-74.01,190.4,3,3.84,8.7,6.8,5.1,0,1,1,42.33,0.0927,0.144,0.158,5,19.75,5,1
SHP-42-0046129,2025-05-21,2025-05-22,3,5,parcel,Northstar Parcel,Ground,New York NY,Atlanta GA,10044,30358,40.71,-74.01,33.75,-84.39,745.6,5,3.07,5.2,5.1,4.5,0,0,1,0.0,0.1148,0.193,0.175,6,17.59,5,1
SHP-42-0031507,2025-06-22,2025-06-23,0,6,parcel,Northstar Parcel,Expedited,Houston TX,Denver CO,77094,80234,29.76,-95.37,39.74,-104.99,878.5,5,3.04,7.0,8.3,4.4,0,1,0,177.57,0.1199,0.048,0.22,4,21.25,3,1
SHP-42-0049525,2024-04-25,2024-04-28,6,4,parcel,Summit Express,Expedited,Miami FL,Nashville TN,33103,37288,25.76,-80.19,36.16,-86.78,817.2,5,3.59,7.5,7.2,5.2,0,0,0,45.01,0.1252,0.285,0.173,4,21.08,2,1
SHP-42-0005158,2024-11-15,2024-11-15,4,11,parcel,Falcon Post,Expedited,Denver CO,Miami FL,80296,33160,39.74,-104.99,25.76,-80.19,1725.4,7,9.49,8.3,11.8,6.5,0,1,0,0.0,0.1025,0.112,0.815,4,21.37,5,0
SHP-42-0019857,2025-07-18,2025-07-19,5,7,parcel,Falcon Post,EXPEDITED,Boston MA,Minneapolis MN,02177,55477,42.36,-71.06,44.98,-93.27,1121.0,6,1.41,6.0,3.9,3.1,0,1,0,144.78,0.0773,0.334,0.089,4,15.81,5,0
SHP-42-0046905,2024-04-17,2024-04-18,3,4,parcel,Northstar Parcel,TwoDay,Dallas TX,Houston TX,75269,77077,32.78,-96.8,29.76,-95.37,225.1,3,5.33,6.5,6.3,4.3,0,1,1,33.04,0.0826,0.316,0.05,3,26.68,4,0
SHP-42-0007270,2025-06-30,2025-06-30,0,6,parcel,Cobalt Regional,Ground,Portland OR,Denver CO,97209,80235,45.51,-122.68,39.74,-104.99,981.0,5,4.39,6.4,9.0,6.2,0,0,0,23.35,0.1191,0.14,0.088,6,11.45,4,1
SHP-42-0022528,2025-12-06,2025-12-06,5,12,ltl_freight,VELA FREIGHT,LTL Standard,Los Angeles CA,Dallas TX,90068,75224,34.05,-118.24,32.78,-96.8,1237.4,6,536.33,58.1,26.4,39.2,1,0,0,0.0,0.1759,0.331,0.64,10,339.5,9,1
SHP-42-0028662,2024-11-01,2024-11-03,6,11,parcel,Northstar Parcel,Ground,Houston TX,Los Angeles CA,77021,90096,29.76,-95.37,34.05,-118.24,1370.7,6,4.56,6.7,9.3,8.0,0,1,0,166.41,0.1091,0.294,0.905,6,18.91,7,0
SHP-42-0040533,2025-03-01,2025-03-02,6,3,parcel,Falcon Post,TwoDay,Kansas City MO,Atlanta GA,64115,30382,39.1,-94.58,33.75,-84.39,675.8,5,4.73,10.1,6.4,4.6,0,0,0,0.0,0.1131,0.218,0.2,3,18.57,4,0
SHP-42-0017595,2025-11-17,2025-11-17,0,11,parcel,Summit Express,Expedited,Atlanta GA,Boston MA,30335,02153,33.75,-84.39,42.36,-71.06,936.0,5,4.24,9.5,7.2,6.4,0,1,0,294.63,0.0757,0.121,0.915,4,30.01,2,1
SHP-42-0027274,2025-06-26,2025-06-27,4,6,parcel,Falcon Post,expedited,Boston MA,Columbus OH,02117,43288,42.36,-71.06,39.96,-82.99,641.7,5,3.25,6.9,7.3,3.5,0,1,0,0.0,0.1472,0.098,0.178,4,14.95,4,1
SHP-42-0037558,2025-06-18,2025-06-20,4,6,parcel,Falcon Post,  Ground ,Chicago IL,Phoenix AZ,60626,85020,41.88,-87.63,33.45,-112.07,1451.5,7,1.18,5.4,5.4,5.2,0,1,0,21.09,0.0941,0.173,0.091,7,10.85,7,1
SHP-42-0003272,2024-04-28,2024-04-30,1,4,parcel,Northstar Parcel,Overnight,Phoenix AZ,Boston MA,85005,02174,33.45,-112.07,42.36,-71.06,2294.9,8,2.56,5.2,7.5,6.7,0,1,0,0.0,0.1249,0.057,0.175,2,33.8,2,1
SHP-42-0017737,2024-12-24,2024-12-25,2,12,ltl_freight,Ironclad Freight,LTL Guaranteed,Minneapolis MN,Los Angeles CA,55433,90087,44.98,-93.27,34.05,-118.24,1521.2,7,678.71,,35.2,32.8,1,0,0,165.13,0.1886,0.45,0.822,7,352.8,8,0
SHP-42-0018154,2024-05-23,2024-05-23,3,5,parcel,Falcon Post,Expedited,Miami FL,Los Angeles CA,33147,90099,25.76,-80.19,34.05,-118.24,2335.5,8,5.13,10.3,,7.8,0,1,0,271.05,0.1285,0.019,0.167,4,20.69,3,1
SHP-42-0010172,2024-08-28,2024-08-28,2,8,parcel,Falcon Post,Ground,Columbus OH,New York NY,43292,10001,39.96,-82.99,40.71,-74.01,475.6,4,4.19,6.9,8.9,4.4,0,0,1,24.65,0.0977,0.222,0.069,5,13.84,4,1
SHP-42-0036419,2025-07-30,2025-08-01,4,8,parcel,Falcon Post,Ground,Salt Lake City UT,Charlotte NC,84176,28256,40.76,-111.89,35.23,-80.84,1723.7,7,3710.0,8.0,9.5,6.0,0,1,1,31.29,0.0938,0.078,0.121,7,19.79,7,1
SHP-42-0039914,2025-06-06,2025-06-09,0,6,parcel,Falcon Post,TwoDay,Dallas TX,Atlanta GA,75299,30392,32.78,-96.8,33.75,-84.39,719.6,5,2.94,9.3,6.5,,0,1,0,134.65,0.1096,0.031,0.032,3,17.32,2,1
SHP-42-0008322,2024-02-26,2024-02-26,0,2,parcel,NORTHSTAR PARCEL,Ground,Los Angeles CA,Charlotte NC,90055,28254,34.05,-118.24,35.23,-80.84,2115.0,8,3.64,5.9,6.5,4.5,0,0,0,0.0,0.1419,0.33,0.264,7,11.15,7,1
SHP-42-0028966,2025-12-11,2025-12-13,5,12,parcel,Summit Express,TwoDay,Chicago IL,Columbus OH,60683,43211,41.88,-87.63,39.96,-82.99,276.1,3,1.27,7.5,4.3,3.2,0,0,0,32.61,0.1664,0.573,0.787,3,25.2,3,1
SHP-42-0041820,2025-01-24,2025-01-27,0,1,parcel,Northstar Parcel,Ground,Atlanta GA,Los Angeles CA,30310,90081,33.75,-84.39,34.05,-118.24,1932.4,8,930.0,7.4,6.8,5.0,0,0,0,0.0,0.1452,0.536,0.197,7,10.28,7,1
SHP-42-0031029,2024-12-16,2024-12-18,2,12,parcel,Falcon Post,Ground,Miami FL,Dallas TX,33110,75255,25.76,-80.19,32.78,-96.8,1110.6,6,4.29,8.5,7.2,4.5,0,1,0,48.88,0.1655,0.247,0.845,6,15.73,6,1
SHP-42-0010746,2024-10-22,2024-10-24,3,10,parcel,Northstar Parcel,Ground,Miami FL,Chicago IL,33144,60608,25.76,-80.19,41.88,-87.63,1191.6,6,4.27,10.0,9.3,4.7,0,0,0,98.89,0.1232,0.088,0.161,6,12.73,5,1
SHP-42-0041540,2025-07-28,2025-07-30,2,7,ltl_freight,Ironclad Freight,LTL Standard,Dallas TX,Columbus OH,75294,43249,32.78,-96.8,39.96,-82.99,912.9,5,,29.4,25.7,16.5,1,0,0,0.0,0.1021,0.102,0.181,9,227.31,8,1
SHP-42-0042441,2025-08-01,2025-08-01,4,8,parcel,Falcon Post,Ground,Chicago IL,Columbus OH,60681,43276,41.88,-87.63,39.96,-82.99,276.1,3,3.46,6.7,5.0,6.5,0,1,1,0.0,0.1096,0.11,0.221,5,15.64,5,1
SHP-42-0021820,2025-05-13,2025-05-13,1,5,parcel,Falcon Post,TwoDay,Los Angeles CA,Miami FL,90026,33149,34.05,-118.24,25.76,-80.19,2335.5,8,19.12,15.9,,11.7,0,1,0,0.0,0.089,0.42,0.186,3,30.2,5,0
SHP-42-0004844,2025-11-12,2025-11-16,6,11,ltl_freight,Ironclad Freight,LTL Standard,Seattle WA,Columbus OH,98193,43273,47.61,-122.33,39.96,-82.99,2008.8,8,504.34,52.0,35.6,21.9,1,0,0,123.27,0.0809,0.05,0.769,11,368.77,11,1
SHP-42-0009459,2024-08-20,2024-08-21,2,8,parcel,Falcon Post,Ground,Charlotte NC,Phoenix AZ,28280,85043,35.23,-80.84,33.45,-112.07,1778.6,7,1.85,6.4,5.7,4.2,0,0,1,136.62,0.136,0.462,0.185,7,13.11,8,0
SHP-42-0005011,2024-05-26,2024-05-28,1,5,parcel,Northstar Parcel,Ground,Miami FL,Columbus OH,33186,43240,25.76,-80.19,39.96,-82.99,994.3,5,3.96,6.1,6.8,7.4,0,1,0,235.33,0.1212,0.534,0.029,6,16.94,6,1
SHP-42-0032073,2024-09-22,2024-09-23,0,9,parcel,Summit Express,Ground,Dallas TX,Boston MA,75275,02161,32.78,-96.8,42.36,-71.06,1549.1,7,17.05,,8.7,8.7,0,1,0,0.0,0.0939,0.122,0.203,7,36.41,5,1
SHP-42-0047100,2024-10-07,2024-10-07,0,10,parcel,Northstar Parcel,Ground,New York NY,Denver CO,10014,80203,40.71,-74.01,39.74,-104.99,1627.2,7,2.13,5.3,7.1,2.9,0,1,0,87.94,0.1238,0.11,0.049,7,15.11,7,1
